State,Total parks,Exclusive parks,Shared parks
California,9,8,1
Alaska,8,8,+IBQ-
Utah,5,5,+IBQ-
Colorado,4,4,+IBQ-
Arizona,3,3,+IBQ-
Florida,3,3,+IBQ-
Washington,3,3,+IBQ-
Hawaii,2,2,+IBQ-
New Mexico,2,2,+IBQ-
South Dakota,2,2,+IBQ-
Texas,2,2,+IBQ-
Montana,2,1,1
Nevada,2,1,1
Wyoming,2,1,1
American Samoa,1,1,+IBQ-
Arkansas,1,1,+IBQ-
Indiana,1,1,+IBQ-
Kentucky,1,1,+IBQ-
Maine,1,1,+IBQ-
Michigan,1,1,+IBQ-
Minnesota,1,1,+IBQ-
Missouri,1,1,+IBQ-
North Dakota,1,1,+IBQ-
Ohio,1,1,+IBQ-
Oregon,1,1,+IBQ-
South Carolina,1,1,+IBQ-
U.S. Virgin Islands,1,1,+IBQ-
Virginia,1,1,+IBQ-
West Virginia,1,1,+IBQ-
Idaho,1,+IBQ-,1
North Carolina,1,+IBQ-,1
Tennessee,1,+IBQ-,1
